method,round,labels,avg_acc,acc_tuple,top_k
active_random,17,366,0.6854734111543449,"[0.6945525291828794, 0.6770428015564203, 0.6848249027237354]",2
active_random,18,376,0.6945525291828792,"[0.6984435797665369, 0.7003891050583657, 0.6848249027237354]",2
active_random,19,386,0.69325551232166,"[0.688715953307393, 0.688715953307393, 0.7023346303501945]",2
active_random,20,396,0.699740596627756,"[0.7042801556420234, 0.7023346303501945, 0.6926070038910506]",2
active_random,21,406,0.7010376134889754,"[0.6984435797665369, 0.6964980544747081, 0.708171206225681]",2
active_random,22,416,0.708171206225681,"[0.7062256809338522, 0.7178988326848249, 0.7003891050583657]",2
active_random,23,426,0.7127107652399481,"[0.7101167315175098, 0.7120622568093385, 0.7159533073929961]",2
active_random,24,436,0.72568093385214,"[0.7198443579766537, 0.7237354085603113, 0.7334630350194552]",2
active_random,25,446,0.7341115434500649,"[0.7334630350194552, 0.7295719844357976, 0.7392996108949417]",2
active_random,26,456,0.7412451361867705,"[0.7392996108949417, 0.7470817120622568, 0.7373540856031129]",2
active_random,27,466,0.7438391699092088,"[0.7392996108949417, 0.7412451361867705, 0.7509727626459144]",2
active_random,28,476,0.7470817120622568,"[0.7509727626459144, 0.7470817120622568, 0.7431906614785992]",2
active_random,29,486,0.7509727626459144,"[0.7509727626459144, 0.7529182879377432, 0.7490272373540856]",2
active_random,30,496,0.751621271076524,"[0.7529182879377432, 0.745136186770428, 0.7568093385214008]",2
active_random,31,506,0.7522697795071336,"[0.7509727626459144, 0.7470817120622568, 0.7587548638132295]",2
active_random,32,516,0.7535667963683528,"[0.7587548638132295, 0.7431906614785992, 0.7587548638132295]",2
active_random,33,526,0.7535667963683528,"[0.7509727626459144, 0.754863813229572, 0.754863813229572]",2
active_random,34,536,0.7607003891050583,"[0.7665369649805448, 0.754863813229572, 0.7607003891050583]",2
active_random,35,546,0.75810635538262,"[0.7529182879377432, 0.7607003891050583, 0.7607003891050583]",2
active_random,36,556,0.7607003891050583,"[0.7626459143968871, 0.7587548638132295, 0.7607003891050583]",2
active_random,37,566,0.7678339818417639,"[0.7645914396887159, 0.7665369649805448, 0.7723735408560312]",2
active_random,38,576,0.7678339818417639,"[0.7645914396887159, 0.7665369649805448, 0.7723735408560312]",2
active_random,39,586,0.7684824902723735,"[0.77431906614786, 0.7626459143968871, 0.7684824902723736]",2
active_random,40,596,0.771076523994812,"[0.7723735408560312, 0.7665369649805448, 0.77431906614786]",2
active_random,41,606,0.7723735408560312,"[0.7684824902723736, 0.77431906614786, 0.77431906614786]",2
active_random,42,616,0.7730220492866408,"[0.7723735408560312, 0.7684824902723736, 0.7782101167315175]",2
active_random,43,626,0.7730220492866408,"[0.7665369649805448, 0.77431906614786, 0.7782101167315175]",2
active_random,44,636,0.7808041504539559,"[0.7782101167315175, 0.7821011673151751, 0.7821011673151751]",2
active_random,45,646,0.7762645914396887,"[0.7782101167315175, 0.77431906614786, 0.7762645914396887]",2
active_random,46,656,0.7775616083009079,"[0.7723735408560312, 0.7762645914396887, 0.7840466926070039]",2
active_random,47,666,0.7866407263294423,"[0.7782101167315175, 0.7898832684824902, 0.791828793774319]",2
active_random,48,676,0.7827496757457847,"[0.7879377431906615, 0.7762645914396887, 0.7840466926070039]",2
active_random,49,686,0.7795071335927367,"[0.7801556420233463, 0.77431906614786, 0.7840466926070039]",2
active_random,50,696,0.7911802853437094,"[0.7898832684824902, 0.7801556420233463, 0.8035019455252919]",2
active_random,51,706,0.7814526588845655,"[0.7840466926070039, 0.77431906614786, 0.7859922178988327]",2
active_random,52,716,0.7833981841763943,"[0.7821011673151751, 0.7859922178988327, 0.7821011673151751]",2
active_random,53,726,0.7879377431906615,"[0.7821011673151751, 0.8015564202334631, 0.7801556420233463]",2
active_random,54,736,0.7924773022049286,"[0.7898832684824902, 0.7976653696498055, 0.7898832684824902]",2
active_random,55,746,0.788586251621271,"[0.7957198443579766, 0.7801556420233463, 0.7898832684824902]",2
active_random,56,756,0.7924773022049286,"[0.7957198443579766, 0.7898832684824902, 0.791828793774319]",2
active_random,57,766,0.7905317769130998,"[0.7898832684824902, 0.7898832684824902, 0.791828793774319]",2
active_random,58,776,0.7931258106355382,"[0.7898832684824902, 0.791828793774319, 0.7976653696498055]",2
active_random,59,786,0.7963683527885862,"[0.7957198443579766, 0.791828793774319, 0.8015564202334631]",2
active_random,60,796,0.7996108949416344,"[0.7957198443579766, 0.7996108949416343, 0.8035019455252919]",2
active_random,61,806,0.7989623865110248,"[0.7976653696498055, 0.7996108949416343, 0.7996108949416343]",2
active_random,62,816,0.7963683527885862,"[0.8015564202334631, 0.7976653696498055, 0.7898832684824902]",2
active_random,63,826,0.795071335927367,"[0.7976653696498055, 0.7957198443579766, 0.791828793774319]",2
active_random,64,836,0.7989623865110248,"[0.7937743190661478, 0.8015564202334631, 0.8015564202334631]",2
active_random,65,846,0.7989623865110246,"[0.8035019455252919, 0.7976653696498055, 0.7957198443579766]",2
